Sequence;plot;date_start;date_end;start_date_analysis;end_date_analysis;trap_id;tree_species;sample;dry_weight_70;dry_weight_105;dry_mass;pooled;area;C;N;S;P;Ca;Mg;K;Zn;Mn;Fe;Cu;Pb;Cd;B;Arsenic;Cr;Co;Hg;Ni;other_observations
1;856;2011-06-06;2011-08-01;2011-10-04;2011-10-18;-9;20;10;0,025;NA;NA;y;NA;52,8;16,1;1,15;0,83;2,99;1,11;3,59;31;440;910;NA;NA;NA;NA;NA;NA;NA;NA;NA;
2;856;2011-10-24;2011-11-21;2012-01-23;2012-02-06;-9;20;10;0,085;NA;NA;y;NA;51,1;9,29;0,97;0,48;5,86;0,79;8,06;19;1030;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;
3;856;2011-08-29;2011-10-24;2012-01-09;2012-01-23;-9;20;10;0,335;NA;NA;y;NA;55,8;17,2;1,13;1,45;2,77;1,06;7,17;20;440;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;
4;856;2011-08-01;2011-08-29;2011-10-24;2011-11-07;-9;20;10;0,049;NA;NA;y;NA;53,2;12,6;1,07;0,68;2,76;0,75;5,63;25;480;430;NA;NA;NA;NA;NA;NA;NA;NA;NA;1 cone
5;856;2011-05-09;2011-06-06;2011-08-08;2011-08-22;-9;20;10;0,03;NA;NA;y;NA;51,9;13,7;0,95;0,68;3,19;1,02;2;35;330;110;NA;NA;NA;NA;NA;NA;NA;NA;NA;
6;856;2011-02-14;2011-05-09;2011-07-11;2011-07-25;-9;20;10;0,056;NA;NA;y;NA;49,8;11,7;0,69;0,61;2,1;0,99;4,14;17;250;90;NA;NA;NA;NA;NA;NA;NA;NA;NA;1 cone
7;856;2012-07-16;2012-09-10;2012-09-13;2012-10-04;-9;20;10;0,0284;NA;NA;Y;NA;52,9;11,6;1,03;0,65;3,69;0,99;3,26;36;520;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;
8;856;2011-11-21;2012-01-30;2012-02-02;2012-02-23;-9;20;10;0,0916;NA;NA;Y;NA;52,7;11,9;0,92;0,68;4,19;0,95;3,05;37;520;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;10 branches
9;856;2012-01-30;2012-05-21;2012-05-24;2012-06-14;-9;20;10;0,0706;NA;NA;Y;NA;51,3;9,15;0,78;0,57;2,91;0,65;1,66;32;290;130;NA;NA;NA;NA;NA;NA;NA;NA;NA;a lot of small branches and 1 big branch
10;856;2012-05-21;2012-07-16;2012-07-19;2012-08-09;-9;20;10;0,0203;NA;NA;Y;NA;51,3;17,7;1,3;1,35;4,96;1,05;2,25;46;410;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;
11;856;2012-11-05;2012-12-03;2012-12-06;2012-12-27;-9;20;10;0,0211;NA;NA;Y;NA;51,2;11,1;0,85;0,58;4,73;0,81;3,47;36;810;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;
12;856;2012-09-10;2012-11-05;2012-11-08;2012-11-29;-9;20;10;0,2109;NA;NA;Y;NA;51,4;8,99;0,81;0,46;3,98;0,77;4,44;26;630;130;NA;NA;NA;NA;NA;NA;NA;NA;NA;
13;856;2012-12-03;2013-01-28;2013-01-31;2013-02-21;-9;20;10;0,0052;NA;NA;Y;NA;53,1;12,4;1,01;0,64;4,62;0,78;1,69;62;430;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;
14;856;2013-11-04;2013-12-02;2013-12-05;2013-12-27;-9;20;10;0,0126;NA;NA;Y;NA;52,7;11,7;0,97;0,64;4,5;0,84;2,89;59;600;230;NA;NA;NA;NA;NA;NA;NA;NA;NA;new nets
15;856;2013-01-28;2013-07-15;2013-07-18;2013-08-08;-9;20;10;0,0397;NA;NA;Y;NA;50,7;11,3;0,77;0,58;3,33;0,82;1,66;33;330;130;NA;NA;NA;NA;NA;NA;NA;NA;NA;2 nets blown over / less material
16;856;2013-09-09;2013-10-07;2013-10-10;2013-11-04;-9;20;10;0,0561;NA;NA;Y;NA;53,2;14,2;1,12;0,91;4,2;1,18;3,8;37;550;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;
17;856;2013-07-15;2013-09-09;2013-09-12;2013-10-04;-9;20;10;0,0325;NA;NA;Y;NA;53;14,3;1,11;0,83;3,68;1,18;3,96;36;510;500;NA;NA;NA;NA;NA;NA;NA;NA;NA;a lot of branches
